Random,Date,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverters)
0.752566689394836,1/22/2017,0.81,4.90,6.40,5.91,94.84,11.04,28.80,29.58,13980.00,
0.41973159499185,3/31/2017,0.62,7.14,6.14,5.46,67.70,11.15,21.41,29.83,5601.00,
0.517157119981534,10/12/2016,0.81,8.89,15.57,13.62,86.06,11.13,29.28,30.07,9905.00,
0.431882269361152,8/10/2016,0.13,9.11,25.55,21.78,75.20,3.01,29.27,30.07,30561.00,
0.134011954588551,10/25/2017,0.23,10.00,5.87,2.89,82.33,5.56,29.04,29.83,13737.00,
0.208865528101842,7/26/2016,0.36,10.00,24.07,20.15,75.27,5.06,29.23,30.04,26875.00,
0.276513222333751,8/21/2016,0.17,9.99,18.70,15.60,79.44,7.07,29.20,29.99,34230.00,
0.775545331494686,10/16/2017,0.01,10.00,11.08,4.83,68.99,6.36,29.50,30.30,30306.00,
0.510700637765256,9/13/2016,0.21,10.00,22.17,17.82,75.97,3.80,29.30,30.09,26532.00,
0.302045033217984,9/20/2017,0.04,8.73,25.47,20.47,75.71,6.48,29.14,29.93,27582.00,
0.016908847683902,3/4/2017,0.22,10.00,5.02,-2.95,57.95,13.35,29.61,30.41,33340.00,
0.621163084870514,9/10/2016,0.52,7.82,19.79,16.71,80.69,8.41,29.18,29.98,23804.00,
0.39593857174994,5/27/2017,0.57,6.83,19.41,17.68,87.86,5.37,29.07,29.86,23505.00,
0.746291755101413,10/10/2016,0.01,8.38,15.89,8.70,62.53,2.24,29.49,30.29,26312.00,
0.209624485678338,9/13/2017,0.99,9.19,18.63,16.76,86.72,3.61,28.98,29.77,9515.00,
0.152950173125492,6/21/2016,0.08,9.98,23.59,16.83,63.57,7.89,29.22,30.01,37319.00,
0.190920285545509,3/7/2017,0.39,9.65,9.21,4.19,69.53,15.99,29.15,29.94,31333.00,
0.31434388418565,2/15/2017,0.01,10.00,0.58,-5.01,65.88,10.87,29.12,29.91,31502.00,
0.439492854252869,7/30/2017,0.11,10.00,21.75,15.27,61.27,4.53,27.36,30.18,35410.00,
0.805828198103297,8/23/2017,0.08,10.00,18.39,12.71,68.07,6.63,29.27,30.06,33758.00,
0.893748370138147,4/1/2016,0.77,9.85,7.09,4.12,79.55,11.52,29.00,29.79,19151.00,
0.62569983965883,1/31/2017,0.62,10.00,3.80,0.79,61.12,14.23,23.04,29.84,11140.00,
0.173715403943923,8/11/2017,0.43,9.88,21.56,18.12,77.96,6.29,29.22,30.01,27643.00,
0.119477268087665,8/14/2016,0.22,9.69,21.74,20.89,89.16,2.89,29.27,30.06,13002.00,
0.645233398264636,4/19/2017,0.25,9.98,22.74,16.48,35.38,10.70,12.92,30.02,1277.00,
0.47433689165928,9/7/2017,0.14,10.00,14.16,8.74,66.21,6.99,28.43,30.09,29592.00,
0.258578012514979,6/29/2016,0.00,10.00,18.30,11.00,60.47,4.15,27.31,30.12,38446.00,
0.241040171528056,10/6/2017,0.95,8.10,20.76,19.44,92.61,6.08,29.17,29.96,5239.00,
0.556714118361498,12/16/2016,1.00,7.92,-5.72,-10.14,69.60,12.44,29.22,30.01,2762.00,
0.372337540130809,7/28/2017,0.41,9.93,22.19,18.38,74.74,11.40,29.15,29.94,25950.00,
0.054566675146254,2/25/2016,0.88,9.70,1.29,-1.71,77.66,13.36,29.20,30.00,14633.00,
0.583455945407393,10/23/2017,0.92,8.92,11.90,10.99,93.82,11.41,28.98,29.77,3190.00,
0.645938434742798,6/13/2017,0.27,9.96,28.18,21.40,66.57,9.17,29.18,29.97,30293.00,
0.424744921227562,9/28/2016,0.85,10.00,13.85,9.98,75.95,9.77,29.12,29.91,17006.00,
0.416389186957694,3/18/2016,0.44,10.00,6.33,-1.25,57.39,7.77,29.28,30.08,26080.00,
0.814911165550484,3/23/2016,0.57,10.00,15.66,10.13,68.05,16.45,28.96,29.75,18714.00,
0.546493468126259,4/24/2017,0.00,10.00,16.26,0.60,35.76,8.51,29.08,29.87,38564.00,
0.236050093449876,11/26/2016,0.37,8.38,4.40,3.22,87.09,7.57,29.50,30.30,15544.00,
0.641618847019576,3/19/2016,0.88,9.99,5.12,0.29,69.64,7.42,29.34,30.13,13522.00,
0.092953955987521,4/17/2016,0.00,10.00,19.31,5.56,43.15,4.74,29.54,30.34,37976.00,
0.199924942781939,9/2/2017,0.21,10.00,16.05,10.22,64.58,6.39,29.24,30.03,36736.00,
0.509074912772379,1/20/2017,1.00,5.29,8.43,8.30,96.88,6.41,28.85,29.63,3787.00,
